split,f1,precision,recall,roc_auc,pr_auc,brier
validation,0.8106060606060606,0.9385964912280702,0.7133333333333334,0.9881615715936548,0.8718187749510917,0.011708387025871228
test,0.789272030651341,0.9196428571428571,0.6912751677852349,0.9814421283668058,0.8453520635351476,0.014119844039025718
