threshold,precision,recall,f1
0.05,0.5024390243902439,0.9626168224299065,0.6602564102564102
0.1,0.717391304347826,0.9252336448598131,0.8081632653061225
0.15,0.9223300970873787,0.8878504672897196,0.9047619047619048
0.2,0.9223300970873787,0.8878504672897196,0.9047619047619048
0.25,0.9223300970873787,0.8878504672897196,0.9047619047619048
0.3,0.9223300970873787,0.8878504672897196,0.9047619047619048
0.35,0.9223300970873787,0.8878504672897196,0.9047619047619048
0.39999999999999997,0.9223300970873787,0.8878504672897196,0.9047619047619048
0.44999999999999996,0.9223300970873787,0.8878504672897196,0.9047619047619048
0.49999999999999994,0.9223300970873787,0.8878504672897196,0.9047619047619048
0.5499999999999999,0.9223300970873787,0.8878504672897196,0.9047619047619048
0.6,0.9223300970873787,0.8878504672897196,0.9047619047619048
0.65,0.9772727272727273,0.8037383177570093,0.882051282051282
0.7,0.9772727272727273,0.8037383177570093,0.882051282051282
0.75,0.9772727272727273,0.8037383177570093,0.882051282051282
0.7999999999999999,0.9880952380952381,0.7757009345794392,0.8691099476439791
0.85,0.9880952380952381,0.7757009345794392,0.8691099476439791
0.9,0.9880952380952381,0.7757009345794392,0.8691099476439791
0.95,0.9880952380952381,0.7757009345794392,0.8691099476439791
